Image,ROI,Area,Mean
DII-V_arpc4_2_plant10_1_Z-Stack,1,63.998,246.593
,2,48.812,326.145
,3,55.941,163.402
,4,52.122,191.173
,5,50.421,198.377
,6,48.891,253.533
,7,33.405,169.549
,8,38.767,154.716
,9,63.710,159.084
,10,73.193,220.756
,11,70.851,186.767
,12,49.702,181.857
,13,63.004,178.892
,14,62.533,180.456
,15,61.316,197.306
,16,62.860,225.280
,17,59.773,245.735
,18,68.314,204.401
DII-V_arpc4_2_plant10_2_Z-Stack,1,56.935,196.557
,2,43.895,157.779
,3,63.056,281.704
,4,52.082,192.253
,5,50.304,187.696
,6,57.000,146.431
,7,54.607,171.935
,8,56.281,168.765
,9,47.805,175.323
,10,48.917,119.114
,11,69.517,152.275
,12,63.331,168.430
,13,73.820,181.973
,14,66.914,176.164
DII-V_arpc4_2_plant2_1_Z-Stack,1,56.974,92.104
,2,49.807,104.459
,3,46.367,105.547
,4,85.657,98.102
,5,76.122,99.241
,6,83.865,106.345
,7,93.492,92.016
,8,71.623,109.941
,9,87.174,114.226
,10,93.060,107.780
,11,81.459,101.315
DII-V_arpc4_2_plant2_2_Z-Stack,1,59.420,110.930
,2,54.201,97.465
,3,83.368,113.578
,4,71.204,98.141
,5,58.544,92.755
,6,51.886,84.789
,7,73.611,101.520
,8,66.417,114.227
,9,57.746,103.099
,10,64.364,95.670
,11,77.286,98.067
,12,87.750,102.575
,13,81.040,92.063
,14,91.438,100.424
,15,82.714,99.710
DII-V_arpc4_2_plant3_1_Z-Stack,1,64.194,106.641
,2,43.764,112.574
,3,55.915,98.076
,4,61.329,107.934
,5,67.817,121.186
,6,55.535,101.473
,7,56.948,118.534
,8,58.138,127.069
,9,62.415,118.823
,10,50.290,117.745
,11,68.536,140.497
,12,96.343,112.264
,13,64.495,107.160
DII-V_arpc4_2_plant3_2_Z-Stack,1,54.790,102.944
,2,63.854,125.277
,3,65.763,103.733
,4,49.898,99.633
,5,46.510,111.970
,6,66.169,109.082
,7,72.696,119.169
,8,57.563,108.674
,9,62.690,102.391
,10,70.080,105.136
,11,88.652,102.185
,12,70.380,99.675
,13,84.075,117.704
,14,73.467,122.188
,15,53.050,88.384
,16,66.077,104.316
,17,84.624,124.703
DII-V_arpc4_2_plant4_1_Z-Stack,1,52.357,310.258
,2,49.440,177.537
,3,68.314,215.923
,4,73.088,192.127
,5,55.653,193.295
,6,70.616,197.305
,7,63.514,270.866
,8,57.170,197.760
,9,44.849,190.776
,10,70.760,271.766
,11,60.545,267.909
,12,55.758,257.144
,13,68.510,212.972
,14,67.294,197.040
,15,77.980,247.377
,16,76.646,174.372
DII-V_arpc4_2_plant4_2_Z-Stack,1,48.145,196.411
,2,63.736,199.649
,3,54.581,185.393
,4,62.219,226.003
,5,68.680,194.390
,6,52.501,202.279
,7,49.336,220.750
,8,59.368,282.911
,9,53.246,193.902
,10,42.757,206.474
,11,66.051,263.286
,12,43.895,209.553
,13,58.792,272.717
,14,53.704,272.500
,15,71.623,195.699
,16,63.945,210.150
DII-V_arpc4_2_plant6_1_Z-Stack,1,68.497,200.345
,2,67.228,256.652
,3,48.956,218.750
,4,56.830,207.014
,5,54.044,175.062
,6,75.560,182.740
,7,62.637,169.943
,8,72.146,184.945
,9,54.894,213.900
,10,65.593,205.179
,11,70.773,232.142
,12,85.069,248.105
,13,63.775,195.143
,14,56.372,226.097
,15,63.540,239.411
,16,59.302,172.310
,17,94.917,200.513
,18,61.186,176.507
DII-V_arpc4_2_plant6_2_Z-Stack,1,57.746,164.840
,2,54.214,175.380
,3,75.285,162.054
,4,57.170,173.432
,5,66.941,172.774
,6,65.777,187.478
,7,55.627,167.283
,8,57.942,178.482
,9,66.090,174.009
,10,60.205,190.979
,11,56.555,165.941
,12,48.669,157.340
,13,75.978,171.972
,14,50.120,175.288
,15,48.446,138.406
,16,70.498,198.033
,17,75.351,158.895
DII-V_arpc4_2_plant8_1_Z-Stack,1,67.438,123.355
,2,55.575,148.427
,3,60.087,121.936
,4,46.170,128.128
,5,69.530,140.915
,6,49.283,116.501
,7,79.327,153.123
,8,62.075,142.467
,9,68.445,143.442
,10,66.888,115.762
,11,56.529,126.354
,12,63.291,146.231
,13,75.769,169.843
,14,72.303,148.046
,15,69.844,144.957
,16,57.628,180.921
,17,69.740,135.309
DII-V_arpc4_2_plant8_2_Z-Stack,1,51.219,123.058
,2,57.667,124.961
,3,50.264,154.747
,4,43.908,142.762
,5,61.774,125.518
,6,60.126,128.934
,7,60.610,120.921
,8,47.897,141.341
,9,69.792,140.872
,10,62.964,157.478
,11,42.443,119.423
,12,47.008,140.301
,13,35.746,116.250
,14,95.035,132.447
,15,51.298,129.318
,16,74.958,114.535
,17,81.485,115.344
,18,85.880,135.298
DII-V_arpc4_2_plant9_1_Z-Stack,1,67.595,87.990
,2,83.368,98.191
,3,72.277,96.415
,4,67.529,89.278
,5,85.631,94.391
,6,54.031,85.830
,7,84.035,105.055
,8,86.664,102.038
,9,77.914,100.850
,10,75.285,101.200
,11,69.530,100.715
,12,73.977,93.978
,13,73.349,111.450
DII-V_arpc4_2_plant9_2_Z-Stack,1,43.568,90.444
,2,39.905,96.132
,3,69.713,97.514
,4,55.195,114.030
,5,59.132,105.121
,6,71.061,94.580
,7,61.447,99.742
,8,70.799,95.053
,9,81.956,109.216
,10,57.497,93.560
,11,68.013,92.762
,12,65.397,106.224
,13,65.319,86.853
,14,48.826,103.182
