Image,ROI,Area,Mean
DII-V_WT_plant10_1_Z-Stack,1,62.219,141.481
,2,64.926,124.908
,3,77.273,169.661
,4,58.360,137.948
,5,58.857,142.690
,6,51.585,118.510
,7,66.457,124.613
,8,67.176,117.218
,9,48.446,118.460
,10,58.151,127.543
,11,69.530,135.741
,12,65.894,129.596
,13,82.348,110.603
DII-V_WT_plant10_2_Z-Stack,1,72.369,107.624
,2,55.548,122.685
,3,66.496,109.234
,4,81.380,134.054
,5,56.202,106.458
,6,60.767,117.995
,7,76.946,142.231
,8,62.978,123.187
,9,41.109,103.491
,10,55.064,107.716
,11,49.977,125.570
,12,45.425,96.994
,13,62.938,109.410
,14,71.440,95.660
,15,63.435,111.910
DII-V_WT_plant11_1_Z-Stack,1,51.625,160.985
,2,49.506,155.686
,3,45.137,153.685
,4,45.464,177.154
,5,42.116,176.070
,6,60.375,196.373
,7,48.760,210.105
,8,46.406,195.110
,9,49.349,189.531
,10,49.401,190.939
,11,43.777,202.251
,12,48.865,186.338
,13,65.659,150.499
,14,67.320,157.982
,15,63.671,166.427
DII-V_WT_plant11_2_Z-Stack,1,59.577,131.081
,2,50.277,148.821
,3,47.387,125.750
,4,59.472,117.344
,5,64.442,146.919
,6,51.468,161.518
,7,58.897,137.026
,8,59.302,127.526
,9,55.640,152.016
,10,68.497,169.559
,11,66.980,151.385
,12,55.915,150.322
,13,78.647,155.434
DII-V_WT_plant12_1_Z-Stack,1,60.205,134.442
,2,40.873,94.660
,3,68.196,118.922
,4,51.219,101.226
,5,48.263,108.775
,6,44.313,116.255
,7,69.766,111.813
,8,60.440,123.982
,9,58.910,103.294
,10,35.602,99.458
,11,64.181,100.243
DII-V_WT_plant12_2_Z-Stack,1,53.586,103.374
,2,52.318,89.898
,3,56.634,105.321
,4,51.507,98.008
,5,53.573,100.878
,6,65.816,109.422
,7,67.294,89.615
,8,60.702,98.147
,9,51.611,97.644
,10,63.841,93.059
,11,67.699,101.381
,12,77.234,92.013
,13,60.440,87.647
,14,46.916,83.894
,15,53.756,98.187
,16,63.004,92.146
,17,45.634,94.423
,18,64.521,90.711
,19,73.153,86.369
DII-V_WT_plant1_1_Z-Stack,1,39.094,102.433
,2,29.860,90.392
,3,36.701,103.367
,4,41.253,92.427
,5,44.379,103.714
,6,44.549,116.249
,7,47.701,96.995
,8,54.280,103.126
,9,63.710,118.374
,10,35.877,102.361
,11,50.173,104.798
,12,49.179,107.392
,13,45.817,99.959
,14,45.268,92.283
,15,55.117,81.112
,16,49.571,109.022
,17,60.819,105.228
DII-V_WT_plant1_2_Z-Stack,1,32.947,92.392
,2,56.569,103.775
,3,56.778,80.278
,4,47.557,76.211
,5,63.854,90.028
,6,76.122,102.811
,7,63.148,88.691
