Image,Order,Area,PM,cytosol,PM/cytosol
PIN3_LatB_plant1_1_Z-Stack,1.0,183.799,573.793,231.509,2.4785
,2.0,181.706,568.425,226.441,2.5103
,3.0,176.586,591.091,223.099,2.6495
,4.0,180.032,550.868,219.165,2.5135
PIN3_LatB_plant1_2_Z-Stack,1.0,175.770,519.777,218.952,2.3739
,2.0,167.918,501.838,209.440,2.3961
,3.0,180.017,510.165,219.741,2.3217
,4.0,182.308,509.149,217.957,2.3360
,5.0,170.245,477.408,199.526,2.3927
,6.0,195.187,525.334,232.033,2.2640
,7.0,174.879,498.207,213.337,2.3353
,8.0,171.920,515.272,216.669,2.3782
,9.0,181.858,514.129,225.124,2.2838
,10.0,184.449,515.029,222.702,2.3126
PIN3_LatB_plant2_1_Z-Stack,1.0,178.111,443.183,207.761,2.1331
,2.0,178.312,449.316,206.217,2.1789
,3.0,177.057,456.752,200.731,2.2754
,4.0,168.754,461.642,201.459,2.2915
,5.0,187.153,502.532,224.803,2.2354
,6.0,178.708,440.715,209.678,2.1019
,7.0,201.689,506.695,234.026,2.1651
,8.0,187.695,494.187,226.342,2.1834
,9.0,180.444,491.464,212.888,2.3086
,10.0,189.391,481.979,218.143,2.2095
PIN3_LatB_plant2_2_Z-Stack,1.0,185.097,493.009,219.173,2.2494
,2.0,189.162,501.190,216.725,2.3126
,3.0,188.601,485.898,222.235,2.1864
,4.0,175.500,494.643,210.021,2.3552
,5.0,180.249,467.822,211.501,2.2119
,6.0,189.436,513.833,224.933,2.2844
,7.0,187.608,502.875,223.116,2.2539
,8.0,182.725,501.781,215.337,2.3302
,9.0,185.450,498.758,218.291,2.2848
,10.0,185.450,498.758,218.291,2.2848
PIN3_LatB_plant3_1_Z-Stack,1.0,195.412,537.606,240.621,2.2342
,2.0,180.127,581.406,225.799,2.5749
,3.0,183.866,501.921,223.717,2.2436
,4.0,181.933,539.808,229.051,2.3567
,5.0,189.575,593.152,236.352,2.5096
,6.0,195.301,589.237,243.326,2.4216
,7.0,192.742,562.396,227.663,2.4703
,8.0,191.763,578.448,239.730,2.4129
,9.0,207.866,559.692,251.269,2.2275
,10.0,179.067,498.855,215.175,2.3184
,11.0,224.541,628.232,298.690,2.1033
,12.0,220.570,597.199,275.602,2.1669
PIN3_LatB_plant3_2_Z-Stack,1.0,211.186,613.815,261.233,2.3497
,2.0,213.049,643.623,269.947,2.3843
,3.0,211.275,677.526,273.319,2.4789
,4.0,226.862,630.529,280.695,2.2463
,5.0,216.246,611.185,269.237,2.2701
,6.0,205.452,642.216,256.963,2.4993
,7.0,213.012,628.019,266.595,2.3557
,8.0,198.131,565.142,239.991,2.3548
,9.0,229.187,593.774,284.067,2.0903
PIN3_LatB_plant4_1_Z-Stack,1.0,200.253,537.701,237.031,2.2685
,2.0,201.217,565.836,243.795,2.3209
,3.0,255.716,601.143,313.354,1.9184
,4.0,203.773,552.167,249.486,2.2132
,5.0,235.006,586.050,286.527,2.0454
,6.0,210.014,580.329,259.717,2.2345
,7.0,188.815,526.574,222.426,2.3674
,8.0,189.523,524.537,227.192,2.3088
,9.0,216.707,598.338,263.687,2.2691
,10.0,200.226,575.045,247.419,2.3242
,11.0,187.505,544.072,224.452,2.4240
,12.0,193.904,546.160,231.262,2.3617
,13.0,178.010,542.972,215.614,2.5183
PIN3_LatB_plant4_2_Z-Stack,1.0,201.718,626.383,256.661,2.4405
,2.0,238.968,665.352,293.079,2.2702
,3.0,195.365,578.294,240.789,2.4017
,4.0,227.311,601.703,269.884,2.2295
,5.0,234.187,660.601,296.739,2.2262
,6.0,242.665,611.067,297.651,2.0530
,7.0,241.824,653.311,294.293,2.2199
,8.0,206.266,574.764,255.680,2.2480
,9.0,236.156,593.993,292.721,2.0292
,10.0,257.372,656.633,327.497,2.0050
,11.0,247.244,635.840,303.437,2.0955
,12.0,210.783,586.957,260.715,2.2513
PIN3_LatB_plant5_1_Z-Stack,1.0,184.239,468.533,208.736,2.2446
,2.0,186.905,498.595,213.045,2.3403
,3.0,203.951,478.933,239.358,2.0009
,4.0,185.431,446.267,207.465,2.1510
,5.0,176.380,452.172,201.603,2.2429
,6.0,176.535,436.518,199.851,2.1842
,7.0,192.943,485.098,220.694,2.1981
,8.0,184.001,467.105,211.747,2.2060
,9.0,198.527,494.077,223.288,2.2127
,10.0,183.643,451.143,207.769,2.1714
,11.0,171.879,466.053,198.352,2.3496
PIN3_LatB_plant5_2_Z-Stack,1.0,240.874,589.202,274.855,2.1437
,2.0,232.596,571.318,272.282,2.0983
,3.0,215.242,597.798,251.868,2.3735
,4.0,187.222,513.517,220.744,2.3263
,5.0,194.298,523.874,223.968,2.3391
,6.0,188.316,496.091,214.887,2.3086
,7.0,196.252,482.495,217.144,2.2220
,8.0,205.963,483.085,231.758,2.0844
,9.0,196.663,460.240,214.537,2.1453
,10.0,182.720,471.549,206.652,2.2819
,11.0,191.892,455.795,210.668,2.1636
,12.0,190.642,441.776,204.879,2.1563
,13.0,217.771,514.846,243.695,2.1127
,14.0,189.049,475.165,210.716,2.2550
PIN3_LatB_plant6_1_Z-Stack,1.0,182.197,390.445,197.605,1.9759
,2.0,173.141,442.072,188.639,2.3435
,3.0,170.208,410.131,187.641,2.1857
,4.0,177.262,413.338,193.268,2.1387
,5.0,164.894,403.224,183.071,2.2026
,6.0,169.559,399.730,183.046,2.1838
,7.0,173.043,458.480,190.296,2.4093
,8.0,209.937,465.899,235.577,1.9777
,9.0,175.495,440.860,195.346,2.2568
,10.0,175.879,446.926,196.890,2.2699
,11.0,177.118,443.372,197.820,2.2413
PIN3_LatB_plant6_2_Z-Stack,1.0,177.692,441.899,200.523,2.2037
,2.0,176.105,479.344,199.430,2.4036
,3.0,184.274,479.637,213.298,2.2487
,4.0,167.468,483.451,191.527,2.5242
,5.0,168.383,480.787,191.913,2.5052
,6.0,195.251,519.242,225.791,2.2997
,7.0,178.613,546.724,209.431,2.6105
,8.0,161.744,467.209,182.459,2.5606
