Image,Order,Area,PM,cytosol,PM/cytosol
PIN3_WT_plant1_3_Z-Stack,1.0,146.454,395.978,180.887,2.1891
,2.0,148.603,412.242,184.245,2.2375
,3.0,156.337,422.420,192.723,2.1919
,4.0,148.802,371.694,181.666,2.0460
,5.0,154.246,377.101,188.562,1.9999
PIN3_WT_plant1_4_Z-Stack,1.0,159.843,441.803,194.080,2.2764
,2.0,169.908,478.323,214.126,2.2338
,3.0,149.242,414.121,180.089,2.2995
,4.0,150.373,424.307,182.952,2.3192
,5.0,157.969,415.969,196.875,2.1129
PIN3_WT_plant2_3_Z-Stack,1.0,192.247,572.219,260.931,2.1930
,2.0,159.428,501.042,211.468,2.3694
,3.0,231.678,547.294,290.542,1.8837
,4.0,171.703,525.091,229.081,2.2922
,5.0,196.095,506.616,257.749,1.9655
,6.0,179.059,483.640,232.548,2.0797
,7.0,189.109,539.352,249.743,2.1596
PIN3_WT_plant3_3_Z-Stack,1.0,191.875,619.921,260.090,2.3835
,2.0,225.507,641.395,301.172,2.1297
,3.0,247.425,609.127,311.770,1.9538
,4.0,273.363,610.370,332.851,1.8338
,5.0,274.560,663.891,349.479,1.8997
,6.0,285.418,622.132,353.470,1.7601
,7.0,234.693,677.723,317.603,2.1339
,8.0,236.774,709.976,314.519,2.2573
,9.0,258.584,599.782,334.568,1.7927
,10.0,248.692,659.404,329.422,2.0017
,11.0,271.527,605.780,336.618,1.7996
,12.0,194.144,585.681,263.091,2.2262
,13.0,223.398,596.430,297.266,2.0064
PIN3_WT_plant4_1_Z-Stack,1.0,140.291,444.495,181.556,2.4483
,2.0,154.892,499.326,206.158,2.4221
,3.0,156.819,488.977,213.574,2.2895
,4.0,186.580,503.610,249.635,2.0174
,5.0,158.800,481.689,213.262,2.2587
,6.0,150.581,477.965,206.118,2.3189
,7.0,152.996,455.784,205.579,2.2171
,8.0,150.221,446.225,197.439,2.2601
,9.0,150.013,465.717,196.272,2.3728
PIN3_WT_plant4_2_Z-Stack,1.0,166.307,571.701,236.875,2.4135
,2.0,162.261,526.961,218.027,2.4170
,3.0,204.050,571.145,271.075,2.1070
,4.0,165.955,553.268,231.124,2.3938
,5.0,155.480,500.201,215.633,2.3197
,6.0,159.820,514.230,221.397,2.3227
,7.0,162.352,558.525,226.021,2.4711
,8.0,152.201,505.631,205.747,2.4575
,9.0,140.944,496.478,186.647,2.6600
PIN3_WT_plant5_1_Z-Stack,1.0,279.283,669.630,347.479,1.9271
,2.0,269.667,676.751,357.009,1.8956
,3.0,175.301,668.238,245.313,2.7240
,4.0,257.370,720.813,373.392,1.9304
,5.0,173.921,704.637,245.770,2.8671
,6.0,191.989,646.693,273.735,2.3625
,7.0,188.109,618.508,250.961,2.4646
,8.0,207.060,718.618,296.888,2.4205
,9.0,212.645,711.578,303.246,2.3465
,10.0,228.372,641.355,304.216,2.1082
,11.0,186.114,678.615,262.065,2.5895
,12.0,225.065,726.867,320.566,2.2674
,13.0,197.708,701.542,287.933,2.4365
,14.0,204.265,645.085,278.160,2.3191
PIN3_WT_plant5_2_Z-Stack,1.0,213.453,733.334,304.122,2.4113
,2.0,210.992,728.280,301.458,2.4159
,3.0,252.294,793.589,354.298,2.2399
,4.0,263.322,793.859,368.104,2.1566
,5.0,207.901,705.155,289.926,2.4322
,6.0,205.584,770.053,295.566,2.6054
,7.0,317.904,739.412,405.045,1.8255
,8.0,199.614,674.133,280.670,2.4019
,9.0,220.663,886.163,340.724,2.6008
,10.0,223.859,675.685,302.347,2.2348
,11.0,201.091,660.896,270.064,2.4472
PIN3_WT_plant6_1_Z-Stack,1.0,185.619,567.443,233.770,2.4274
,2.0,178.846,563.008,220.299,2.5557
,3.0,182.138,559.669,226.351,2.4726
,4.0,193.537,577.958,260.117,2.2219
,5.0,156.767,488.284,193.216,2.5271
,6.0,184.732,537.437,232.546,2.3111
,7.0,154.630,444.669,182.124,2.4416
,8.0,193.373,598.282,255.627,2.3404
,9.0,162.725,461.076,189.967,2.4271
PIN3_WT_plant6_2_Z-Stack,1.0,186.689,583.347,229.753,2.5390
,2.0,187.998,600.447,231.844,2.5899
,3.0,189.279,612.822,240.608,2.5470
,4.0,188.252,617.329,238.456,2.5889
,5.0,194.865,586.039,249.788,2.3461
,6.0,183.232,658.895,240.560,2.7390
,7.0,185.960,595.711,235.145,2.5334
,8.0,213.858,760.577,303.928,2.5025
,9.0,191.303,568.982,236.673,2.4041
PIN3_WT_plant7_1_Z-Stack,1.0,207.603,547.957,278.524,1.9674
,2.0,223.214,531.030,284.214,1.8684
,3.0,150.889,528.405,200.647,2.6335
,4.0,163.120,547.749,214.681,2.5515
,5.0,163.426,543.253,214.079,2.5376
,6.0,191.672,612.166,267.856,2.2854
,7.0,167.352,575.724,229.714,2.5063
,8.0,176.828,501.235,228.935,2.1894
PIN3_WT_plant7_2_Z-Stack,1.0,208.938,557.522,270.989,2.0574
,2.0,197.906,569.429,255.690,2.2270
,3.0,176.114,512.982,226.944,2.2604
,4.0,182.017,516.434,235.952,2.1887
,5.0,164.485,517.649,205.226,2.5223
,6.0,189.667,537.859,236.352,2.2757
,7.0,168.686,542.261,215.024,2.5219
,8.0,162.550,548.595,205.634,2.6678
,9.0,190.615,512.009,247.463,2.0690
PIN3_WT_plant8_1_Z-Stack,1.0,247.075,698.340,327.057,2.1352
,2.0,231.594,645.236,294.578,2.1904
,3.0,198.765,579.183,245.031,2.3637
,4.0,201.869,628.047,259.743,2.4180
,5.0,209.399,612.458,265.957,2.3028
,6.0,213.354,652.920,275.438,2.3705
,7.0,229.748,626.207,280.828,2.2299
,8.0,270.730,704.438,362.132,1.9453
,9.0,206.610,627.430,260.322,2.4102
,10.0,215.354,609.174,272.823,2.2329
,11.0,216.021,649.619,278.313,2.3341
PIN3_WT_plant8_2_Z-Stack,1.0,214.715,671.747,280.372,2.3959
,2.0,238.268,711.477,306.150,2.3239
,3.0,248.516,775.874,329.590,2.3541
,4.0,302.289,722.192,368.897,1.9577
,5.0,206.218,681.607,283.682,2.4027
,6.0,215.890,682.850,291.284,2.3443
,7.0,311.003,742.304,385.429,1.9259
,8.0,299.777,725.239,385.491,1.8813
,9.0,330.074,786.902,420.206,1.8727
,10.0,223.579,746.296,310.087,2.4067
,11.0,246.182,718.803,334.029,2.1519
,12.0,238.949,746.952,322.701,2.3147
,13.0,261.692,710.350,327.620,2.1682
