Image,Order,Area,PM,cytosol,PM/cytosol
PIN3_arpc4_I1_plant10_1_Z-Stack,1.0,203.415,446.711,198.258,2.2532
,2.0,215.411,416.029,205.022,2.0292
,3.0,214.071,462.856,205.857,2.2484
,4.0,220.354,409.687,208.632,1.9637
,5.0,205.764,455.178,196.780,2.3131
,6.0,205.955,405.104,197.430,2.0519
PIN3_arpc4_I1_plant10_2_Z-Stack,1.0,202.245,469.065,205.115,2.2868
,2.0,209.264,432.711,206.974,2.0907
,3.0,211.051,439.335,209.065,2.1014
,4.0,198.221,445.899,199.603,2.2339
,5.0,189.806,409.885,184.985,2.2158
,6.0,210.299,430.573,208.878,2.0614
,7.0,188.468,397.244,182.040,2.1822
PIN3_arpc4_I1_plant11_1_Z-Stack,1.0,233.667,479.665,234.734,2.0434
,2.0,223.296,577.969,233.001,2.4805
,3.0,227.159,498.162,220.407,2.2602
,4.0,238.112,570.245,241.938,2.3570
,5.0,249.579,544.154,250.158,2.1752
,6.0,218.621,492.440,215.552,2.2846
,7.0,227.375,500.945,225.953,2.2170
,8.0,230.992,526.633,232.226,2.2678
,9.0,232.648,602.495,241.176,2.4982
,10.0,248.304,490.704,238.805,2.0548
,11.0,221.995,462.908,215.468,2.1484
PIN3_arpc4_I1_plant11_2_Z-Stack,1.0,224.649,474.062,220.531,2.1496
,2.0,231.483,469.797,224.472,2.0929
,3.0,231.850,458.273,223.905,2.0467
,4.0,234.702,454.964,225.152,2.0207
,5.0,255.151,412.513,238.383,1.7305
,6.0,228.704,439.239,216.931,2.0248
PIN3_arpc4_I1_plant1_2_Z-Stack,1.0,215.638,484.298,216.873,2.2331
,2.0,216.815,479.846,219.543,2.1857
,3.0,205.469,497.623,204.552,2.4327
,4.0,235.397,540.641,240.236,2.2505
,5.0,214.941,554.931,220.061,2.5217
PIN3_arpc4_I1_plant2_1_Z-Stack,1.0,213.094,410.942,194.788,2.1097
,2.0,220.583,419.866,204.730,2.0508
,3.0,207.547,447.443,193.688,2.3101
,4.0,217.855,457.025,204.602,2.2337
,5.0,210.589,448.241,197.304,2.2718
,6.0,212.731,408.994,196.303,2.0835
,7.0,197.967,385.123,181.900,2.1172
,8.0,205.450,367.522,186.193,1.9739
PIN3_arpc4_I1_plant2_2_Z-Stack,1.0,213.281,438.219,198.588,2.2067
,2.0,208.717,452.103,194.725,2.3218
,3.0,212.746,420.407,198.210,2.1210
,4.0,200.534,346.967,180.956,1.9174
,5.0,218.539,410.148,200.787,2.0427
,6.0,212.951,446.936,199.380,2.2416
,7.0,211.594,391.822,190.535,2.0564
,8.0,209.535,375.708,188.988,1.9880
,9.0,208.201,414.897,192.110,2.1597
,10.0,212.012,401.994,193.829,2.0740
PIN3_arpc4_I1_plant3_1_Z-Stack,1.0,234.013,495.674,232.896,2.1283
,2.0,215.008,431.155,209.882,2.0543
,3.0,202.462,474.592,198.149,2.3951
,4.0,230.307,473.658,233.057,2.0324
,5.0,194.826,411.590,184.100,2.2357
,6.0,218.932,505.165,222.572,2.2697
,7.0,218.494,497.828,216.281,2.3018
PIN3_arpc4_I1_plant3_2_Z-Stack,1.0,207.770,442.448,195.190,2.2668
,2.0,233.109,454.912,224.513,2.0262
,3.0,232.659,506.303,225.348,2.2468
,4.0,242.978,508.635,235.888,2.1563
,5.0,217.548,487.968,209.986,2.3238
,6.0,237.750,567.229,240.395,2.3596
,7.0,229.840,538.344,227.732,2.3639
,8.0,227.938,507.617,222.976,2.2766
,9.0,253.821,554.820,254.369,2.1812
,10.0,225.543,520.831,218.067,2.3884
,11.0,230.948,499.937,225.161,2.2204
,12.0,246.879,567.838,248.918,2.2812
PIN3_arpc4_I1_plant4_1_Z-Stack,1.0,219.837,426.224,214.395,1.9880
,2.0,220.984,452.365,210.541,2.1486
,3.0,205.498,418.303,194.552,2.1501
,4.0,215.770,458.731,211.332,2.1707
,5.0,195.402,371.524,178.022,2.0870
,6.0,208.962,416.946,199.491,2.0900
PIN3_arpc4_I1_plant4_2_Z-Stack,1.0,231.810,518.969,227.272,2.2835
,2.0,230.512,517.001,226.566,2.2819
,3.0,222.236,440.758,211.567,2.0833
,4.0,241.553,447.614,232.062,1.9289
,5.0,235.981,487.352,227.624,2.1410
,6.0,223.342,453.580,213.639,2.1231
,7.0,228.028,446.281,216.709,2.0594
,8.0,210.123,419.394,194.857,2.1523
PIN3_arpc4_I1_plant5_1_Z-Stack,1.0,218.957,506.367,222.345,2.2774
,2.0,245.029,577.081,254.789,2.2649
,3.0,218.456,523.533,224.523,2.3318
,4.0,240.149,582.651,263.629,2.2101
,5.0,223.587,593.937,232.417,2.5555
,6.0,231.169,529.400,238.582,2.2189
,7.0,241.387,587.540,253.881,2.3142
,8.0,250.924,601.238,268.342,2.2406
,9.0,215.882,498.760,212.586,2.3462
PIN3_arpc4_I1_plant5_2_Z-Stack,1.0,276.616,657.309,288.671,2.2770
,2.0,250.772,608.428,258.936,2.3497
,3.0,264.615,631.962,277.052,2.2810
,4.0,268.054,610.201,276.707,2.2052
,5.0,281.365,632.929,280.906,2.2532
,6.0,277.034,582.007,270.469,2.1518
,7.0,246.687,519.619,240.227,2.1630
,8.0,247.402,600.849,250.438,2.3992
,9.0,262.715,533.140,248.863,2.1423
,10.0,263.202,563.373,257.716,2.1860
,11.0,255.810,514.522,248.467,2.0708
,12.0,269.530,550.056,273.242,2.0131
,13.0,261.308,612.162,263.010,2.3275
PIN3_arpc4_I1_plant6_1_Z-Stack,1.0,193.638,398.644,184.059,2.1658
,2.0,214.852,483.514,211.179,2.2896
,3.0,211.069,461.261,204.117,2.2598
,4.0,214.837,482.129,211.285,2.2819
,5.0,196.540,441.244,191.965,2.2986
,6.0,202.592,415.883,196.463,2.1169
PIN3_arpc4_I1_plant6_2_Z-Stack,1.0,222.078,451.421,220.770,2.0448
,2.0,222.747,561.218,227.455,2.4674
,3.0,224.573,558.332,228.017,2.4486
,4.0,211.489,493.868,211.030,2.3403
,5.0,220.456,504.940,217.562,2.3209
,6.0,234.146,645.745,248.988,2.5935
,7.0,241.504,587.103,255.006,2.3023
,8.0,231.918,583.129,239.566,2.4341
,9.0,229.882,540.429,242.250,2.2309
,10.0,196.099,431.260,187.230,2.3034
,11.0,221.103,507.197,217.174,2.3354
,12.0,205.058,433.707,194.291,2.2323
,13.0,223.542,475.549,221.972,2.1424
PIN3_arpc4_I1_plant7_1_Z-Stack,1.0,207.835,486.758,224.430,2.1689
,2.0,208.437,512.120,218.360,2.3453
,3.0,214.477,503.482,228.399,2.2044
,4.0,193.695,491.962,199.468,2.4664
,5.0,209.092,545.755,221.827,2.4603
,6.0,185.010,436.733,184.860,2.3625
PIN3_arpc4_I1_plant7_2_Z-Stack,1.0,231.685,625.389,242.564,2.5782
,2.0,229.366,525.990,232.182,2.2654
,3.0,217.257,511.328,219.341,2.3312
,4.0,232.149,624.234,247.536,2.5218
,5.0,272.829,622.339,289.195,2.1520
,6.0,238.343,486.543,239.985,2.0274
,7.0,230.845,563.445,234.257,2.4052
,8.0,222.493,496.017,227.372,2.1815
,9.0,258.118,487.818,255.259,1.9111
,10.0,246.088,603.224,261.643,2.3055
,11.0,257.122,679.701,277.491,2.4495
,12.0,252.404,655.624,275.489,2.3799
,13.0,247.286,531.940,250.302,2.1252
PIN3_arpc4_I1_plant9_1_Z-Stack,1.0,239.797,431.656,218.909,1.9719
,2.0,233.311,529.079,224.583,2.3558
,3.0,231.329,484.858,215.365,2.2513
,4.0,247.348,482.956,234.020,2.0637
,5.0,231.640,501.795,216.517,2.3176
,6.0,258.057,705.501,266.071,2.6516
,7.0,243.082,519.954,228.711,2.2734
,8.0,237.640,456.509,222.193,2.0546
,9.0,250.410,571.784,243.180,2.3513
PIN3_arpc4_I1_plant9_2_Z-Stack,1.0,236.452,514.975,235.202,2.1895
,2.0,253.596,567.303,249.663,2.2723
,3.0,225.586,508.481,218.279,2.3295
,4.0,235.603,491.055,227.112,2.1622
,5.0,261.247,497.172,248.510,2.0006
,6.0,259.692,567.321,254.701,2.2274
,7.0,230.005,517.134,219.898,2.3517
,8.0,257.126,530.258,246.499,2.1512
,9.0,255.075,548.177,250.107,2.1918
