Image,ROI,Area,Mean
mDII-V_WT_plant10_1_Z-Stack,1,54.306,7291.636
,2,62.180,8668.221
,3,54.803,6509.972
,4,43.541,7529.040
,5,61.787,6645.084
,6,56.542,7274.955
,7,52.187,8282.925
,8,59.943,7043.219
,9,62.350,8626.462
,10,67.098,5526.585
,11,67.738,7822.141
,12,54.057,8824.349
,13,57.249,6454.787
,14,66.391,9317.309
,15,58.400,7785.077
,16,52.645,7001.475
,17,68.235,7188.865
,18,63.828,7004.287
,19,62.755,8201.028
,20,68.327,7467.368
,21,54.227,9673.274
mDII-V_WT_plant10_2_Z-Stack,1,41.920,6293.108
,2,55.038,7044.801
,3,60.859,5321.752
,4,59.590,7058.404
,5,52.462,8017.352
,6,56.582,5867.245
,7,56.752,8068.629
,8,50.408,8934.365
,9,63.592,6068.545
,10,51.036,6932.169
,11,59.773,7241.891
,12,53.377,5317.253
,13,64.822,7118.086
,14,54.960,6921.020
,15,63.527,7732.121
,16,72.656,6250.130
,17,68.955,5419.064
,18,56.412,5982.081
,19,67.359,6554.740
,20,55.391,9144.961
,21,53.521,6551.532
mDII-V_WT_plant1_1_Z-Stack,1,47.897,14580.236
,2,52.279,11963.733
,3,57.275,9753.749
,4,88.482,8365.683
,5,43.555,9026.921
,6,52.357,12333.029
,7,42.404,11648.316
,8,47.570,11807.575
,9,71.322,7811.137
,10,88.927,9385.034
,11,75.835,9671.359
,12,89.189,8476.656
,13,61.081,7594.351
,14,73.663,9391.373
,15,75.795,9193.935
,16,66.404,8758.758
,17,53.155,10641.163
,18,51.232,12877.698
,19,72.918,8419.644
mDII-V_WT_plant1_2_Z-Stack,1,53.756,9181.569
,2,45.477,7479.452
,3,71.401,6481.470
,4,56.281,7817.226
,5,48.420,9101.341
,6,66.130,6429.231
,7,67.725,9996.196
,8,56.372,8391.529
,9,70.420,8282.233
,10,70.498,8138.372
,11,63.553,8049.859
,12,47.256,12405.674
,13,50.552,12048.129
,14,82.871,8436.420
,15,63.880,8982.492
,16,66.587,8010.958
,17,76.907,9663.806
,18,49.990,9585.593
mDII-V_WT_plant2_1_Z-Stack,1,58.190,10092.156
,2,47.701,12157.356
,3,56.451,9428.246
,4,53.469,10933.886
,5,48.943,13088.406
,6,60.492,10026.802
,7,37.289,10555.832
,8,39.487,14419.125
,9,53.534,16153.415
,10,67.385,9286.749
,11,55.718,15009.990
,12,56.516,13742.869
,13,45.765,14163.047
,14,56.909,18529.700
,15,50.120,12764.262
,16,57.209,10985.878
,17,61.486,10712.723
,18,45.948,14298.026
,19,55.470,8887.234
,20,61.656,10902.941
mDII-V_WT_plant2_2_Z-Stack,1,49.754,9913.331
,2,44.836,8484.468
,3,62.153,9048.093
,4,50.840,8296.536
,5,41.318,10255.887
,6,58.020,10866.248
,7,41.606,10750.231
,8,50.578,11151.600
,9,47.832,10575.615
,10,63.972,9259.576
,11,61.434,10734.053
,12,62.664,8869.823
,13,72.081,8832.306
,14,74.370,8171.873
,15,57.811,10760.295
,16,63.396,9752.985
,17,72.565,8124.469
,18,50.814,8749.964
,19,59.224,8515.218
mDII-V_WT_plant3_1_Z-Stack,1,51.258,10377.740
,2,61.997,6035.130
,3,42.639,5221.621
,4,50.304,6756.180
,5,57.536,5986.407
,6,60.048,8519.679
,7,68.536,6113.630
,8,51.245,6365.220
,9,60.741,7588.333
,10,56.830,7156.568
,11,51.860,7569.322
,12,52.880,7504.835
,13,45.085,7985.409
,14,65.371,5397.956
,15,65.829,5856.066
,16,54.410,6560.809
,17,67.882,6354.195
,18,57.811,5504.081
mDII-V_WT_plant3_2_Z-Stack,1,60.846,5890.178
,2,51.324,6724.062
,3,55.012,5077.181
,4,59.551,5272.308
,5,61.343,6620.542
,6,53.233,7325.498
,7,33.863,4625.199
,8,55.561,5721.509
,9,65.724,4796.471
,10,41.763,5654.202
,11,53.469,4845.262
,12,50.997,5037.481
,13,48.917,6011.748
,14,46.733,4422.840
,15,66.993,6668.365
,16,60.479,6510.684
,17,57.353,6753.768
,18,57.340,5021.387
,19,61.957,6570.154
,20,53.456,4586.808
,21,53.482,5920.976
mDII-V_WT_plant4_1_Z-Stack,1,51.298,8689.496
,2,57.576,7561.702
,3,60.126,7834.124
,4,52.893,7079.848
,5,49.885,8360.708
,6,54.489,6901.846
,7,60.754,6247.818
,8,59.433,6975.414
,9,63.501,8157.737
,10,56.425,7773.200
,11,63.318,7328.277
,12,43.659,7512.598
,13,51.520,7808.051
,14,47.178,9698.538
,15,54.633,9892.687
,16,48.028,8536.929
,17,61.042,7242.392
,18,49.885,9359.109
,19,47.400,9132.349
,20,72.055,6670.984
,21,66.823,5083.467
mDII-V_WT_plant4_2_Z-Stack,1,50.696,7026.195
,2,65.894,6548.430
,3,61.591,7164.072
,4,52.292,6604.791
,5,41.043,5513.317
,6,50.761,9402.501
,7,48.747,8645.236
,8,49.650,7627.647
,9,53.534,7252.637
,10,53.835,7432.744
,11,58.190,5673.022
,12,66.849,6705.740
,13,67.987,5909.095
,14,65.227,5648.342
,15,58.491,7166.795
,16,65.554,6151.107
,17,55.522,6089.139
,18,71.911,5152.576
,19,59.080,6006.876
mDII-V_WT_plant5_1_Z-Stack,1,62.337,8719.691
,2,60.545,6333.114
,3,54.450,9185.953
,4,44.509,7049.909
,5,46.301,14113.560
,6,46.602,12505.870
,7,59.328,6533.658
,8,60.309,10567.114
,9,63.658,7048.983
,10,72.604,8642.279
,11,58.596,8589.382
,12,65.855,9384.217
,13,67.268,6229.503
,14,88.993,8996.911
,15,67.882,6599.875
,16,64.233,9951.114
,17,64.102,7257.523
,18,76.619,8160.719
mDII-V_WT_plant5_2_Z-Stack,1,57.497,9701.372
,2,45.124,8858.862
,3,51.860,6965.606
,4,68.654,6681.317
,5,55.849,7200.854
,6,44.392,8438.240
,7,66.548,8286.603
,8,62.873,8579.200
,9,50.081,10165.242
,10,65.593,7445.212
,11,69.949,7552.883
,12,77.456,6302.100
,13,75.978,7028.785
,14,70.367,6193.059
,15,52.828,8479.691
,16,57.458,9330.187
,17,65.083,5829.573
,18,68.994,7577.670
,19,69.216,9157.940
,20,72.447,7134.608
mDII-V_WT_plant6_1_Z-Stack_menší,1,53.495,11749.219
,2,43.829,11612.375
,3,56.307,9845.915
,4,64.364,8116.879
,5,62.049,8249.772
,6,55.483,10381.713
,7,50.905,10322.804
,8,49.244,12152.301
,9,61.173,8633.177
,10,58.164,12144.039
,11,52.527,12470.859
,12,58.099,8683.095
,13,51.808,10270.670
,14,44.810,12285.115
,15,48.616,8788.572
,16,58.818,7604.558
,17,55.679,8309.868
,18,55.666,9556.784
,19,55.012,11732.684
,20,54.986,10949.568
,21,61.173,9907.126
,22,56.098,11452.788
,23,62.415,9886.995
,24,52.279,11945.981
,25,61.303,11161.319
,26,53.953,12459.489
mDII-V_WT_plant6_2_Z-Stack_menší,1,51.206,7291.669
,2,46.654,10951.652
,3,57.693,10490.850
,4,53.273,8979.678
,5,49.009,9085.391
,6,58.714,10259.881
,7,55.287,9592.042
,8,53.063,8916.259
,9,55.378,9562.594
,10,55.862,10552.841
,11,52.396,13685.245
,12,61.473,8589.516
,13,58.609,10091.358
,14,59.760,8333.895
,15,56.778,8217.126
,16,58.871,9083.422
,17,60.375,7969.506
,18,54.764,6804.990
,19,59.446,10241.165
mDII-V_WT_plant7_1_Z-Stack,1,49.924,9282.313
,2,71.440,7491.412
,3,51.036,6713.654
,4,75.848,7227.053
,5,71.191,5305.537
,6,62.991,6829.290
,7,57.393,5830.863
,8,47.321,6893.926
,9,70.969,8752.907
,10,82.806,6687.537
,11,52.632,7984.179
,12,67.320,6002.304
,13,73.062,6773.802
,14,72.709,6887.853
,15,62.664,5065.506
,16,61.016,5157.947
mDII-V_WT_plant7_2_Z-Stack,1,65.554,6563.552
,2,65.306,6155.783
,3,44.640,6544.526
,4,61.421,6205.099
,5,48.669,7381.236
,6,74.618,6997.436
,7,84.833,7451.180
,8,59.106,6335.495
,9,62.206,7017.670
,10,63.723,6565.330
,11,71.244,6745.873
,12,60.087,4758.889
,13,77.587,7737.217
,14,54.934,6408.068
,15,69.740,6025.826
,16,59.695,6056.374
,17,72.447,6192.296
,18,84.755,7093.052
mDII-V_WT_plant8_1_Z-Stack,1,57.955,6835.413
,2,53.181,5664.386
,3,61.356,5018.509
,4,49.545,6647.701
,5,57.223,7303.289
,6,48.028,5622.253
,7,55.561,5967.118
,8,61.787,6715.096
,9,58.439,6486.588
,10,51.114,8175.299
,11,52.501,8418.955
,12,66.483,6088.539
,13,57.929,6744.122
,14,63.854,7294.207
,15,75.573,6460.783
,16,73.323,7399.894
,17,67.111,6339.356
,18,73.833,5164.998
,19,71.518,4049.407
,20,51.847,8166.549
,21,76.332,5269.490
mDII-V_WT_plant8_2_Z-Stack,1,46.380,4797.057
,2,59.982,6046.420
,3,61.068,4839.584
,4,52.292,7046.391
,5,66.797,7366.951
,6,66.365,5965.903
,7,64.586,5616.420
,8,53.626,7957.923
,9,50.801,5022.813
,10,42.116,5833.784
,11,61.316,6712.095
,12,76.188,7377.922
,13,80.203,5955.633
,14,53.796,5665.829
,15,84.624,6522.910
,16,51.428,6498.827
,17,74.932,5622.260
,18,70.053,4891.402
mDII-V_WT_plant9_1_Z-Stack,1,56.843,9043.051
,2,44.261,7140.866
,3,56.516,8122.722
,4,63.095,5502.149
,5,70.132,7346.192
,6,69.203,6936.385
,7,73.873,8171.489
,8,48.015,7682.294
,9,59.080,5815.044
,10,72.447,6155.160
,11,48.983,8525.408
,12,67.699,6949.921
,13,47.701,9584.757
,14,58.897,8162.951
,15,53.194,7643.909
,16,62.206,6943.715
,17,63.514,7133.870
,18,50.290,6493.325
,19,73.441,6315.335
mDII-V_WT_plant9_2_Z-Stack,1,53.613,6699.645
,2,66.692,7744.409
,3,43.437,9294.768
,4,61.970,7072.398
,5,47.282,7739.253
,6,46.053,7700.046
,7,47.256,7607.246
,8,61.892,4887.920
,9,67.281,5876.184
,10,67.608,8295.965
,11,67.307,6716.638
,12,56.333,7036.631
,13,72.133,8345.900
,14,65.973,8732.257
,15,77.757,6439.823
,16,86.102,8983.528
,17,53.848,10026.965
,18,74.330,6194.959
,19,94.460,7814.340
