Image,ROI,Area,Mean
mDII-V_arpc5_3_plant10_1_Z-Stack,1,46.236,6459.858
,2,49.309,7746.982
,3,58.857,6182.728
,4,52.932,5235.186
,5,69.530,4267.277
,6,71.231,5441.761
,7,60.492,3345.381
,8,75.730,5086.844
,9,64.168,6537.128
,10,69.543,5635.467
,11,73.206,5428.631
,12,60.623,4193.211
,13,63.880,2756.934
mDII-V_arpc5_3_plant10_2_Z-Stack,1,46.170,4175.659
,2,56.843,4164.102
,3,74.435,3197.506
,4,74.252,3871.193
,5,61.395,4861.010
,6,71.832,2745.668
,7,69.883,3723.891
,8,59.629,4857.869
,9,60.989,5580.054
,10,65.083,5836.409
,11,75.952,3558.711
,12,62.860,4557.081
,13,76.266,6081.708
,14,73.363,3888.324
,15,59.525,3335.991
,16,63.919,4362.498
,17,84.048,5599.776
,18,55.300,4774.123
mDII-V_arpc5_3_plant11_1_Z-Stack,1,50.016,8205.702
,2,70.158,6438.013
,3,75.965,7730.153
,4,71.885,8229.066
,5,92.419,8386.571
,6,76.986,7592.307
,7,63.775,5723.624
,8,51.010,6983.943
,9,71.466,4961.199
,10,68.602,9986.302
,11,71.832,6973.042
,12,80.386,9751.210
,13,67.686,8184.360
,14,76.593,5415.589
,15,81.720,5440.666
mDII-V_arpc5_3_plant11_2_Z-Stack,1,77.940,5794.531
,2,67.084,6777.777
,3,57.929,8269.363
,4,90.693,6398.091
,5,80.779,8318.615
,6,61.500,7390.504
,7,65.907,7332.267
,8,63.461,5373.572
,9,63.056,7258.698
,10,72.355,6855.980
,11,62.258,5803.287
,12,78.320,7390.003
,13,70.511,8064.954
,14,56.647,8310.323
,15,59.001,4947.096
,16,41.043,8382.258
,17,45.137,6945.212
mDII-V_arpc5_3_plant12_1_Z-Stack,1,63.409,5668.757
,2,77.666,5341.925
,3,58.334,4515.996
,4,65.580,3549.647
,5,57.484,6682.683
,6,59.211,4812.534
,7,64.442,6104.219
,8,78.398,4204.758
,9,59.237,5235.865
,10,58.818,3820.239
,11,58.151,4051.258
,12,53.613,4348.731
,13,62.389,3303.151
,14,69.635,3969.279
,15,68.353,4782.773
,16,58.033,5277.021
,17,63.291,5302.285
,18,66.077,5890.005
mDII-V_arpc5_3_plant12_2_Z-Stack,1,48.381,2253.403
,2,63.370,3901.655
,3,49.166,2708.276
,4,65.567,3999.747
,5,46.589,3531.821
,6,65.109,3960.241
,7,50.814,4005.087
,8,51.572,4452.649
,9,55.731,3480.393
,10,62.245,4394.767
,11,56.569,5224.162
,12,58.910,4604.961
,13,58.936,5299.143
,14,58.988,5157.875
,15,73.533,3640.189
,16,50.068,4591.805
,17,62.363,4479.042
mDII-V_arpc5_3_plant1_1_Z-Stack,1,53.874,5331.606
,2,60.087,6226.791
,3,73.166,4111.566
,4,71.309,5507.250
,5,66.967,5632.538
,6,59.603,6061.065
,7,74.252,4481.250
,8,63.867,4420.923
,9,57.602,4206.512
,10,67.830,3220.816
,11,70.080,5502.987
,12,73.951,4085.801
,13,77.103,4227.084
,14,67.425,3245.622
mDII-V_arpc5_3_plant1_2_Z-Stack,1,63.540,3992.247
,2,67.254,5420.538
,3,49.440,5040.012
,4,55.967,5207.289
,5,52.056,6183.847
,6,34.621,2667.316
,7,56.385,5274.720
,8,60.087,3907.116
,9,61.983,5161.650
,10,60.741,3988.780
,11,65.724,4974.644
,12,63.618,4533.721
,13,41.854,4229.569
,14,66.156,4956.560
,15,59.564,5832.308
,16,82.021,4726.337
mDII-V_arpc5_3_plant2_1_Z-Stack,1,70.524,7843.394
,2,39.395,10923.161
,3,53.024,11905.074
,4,54.057,9933.515
,5,75.076,10016.141
,6,68.929,6495.441
,7,82.217,10059.772
,8,46.798,10196.774
,9,65.947,9377.988
,10,76.227,14515.571
,11,54.947,8034.672
,12,84.886,9201.824
,13,52.736,11421.847
,14,57.863,12281.192
,15,56.320,9519.376
,16,50.709,12364.032
,17,81.812,7872.967
,18,68.039,9999.143
,19,76.855,7164.506
,20,63.239,5552.131
mDII-V_arpc5_3_plant2_2_Z-Stack,1,54.031,9200.428
,2,46.641,11084.902
,3,49.506,11465.117
,4,55.601,13435.118
,5,64.769,8977.162
,6,63.723,9073.433
,7,70.995,8241.994
,8,84.441,7769.471
,9,65.397,10344.345
,10,76.894,12984.661
,11,69.229,10673.843
,12,69.164,7689.056
,13,63.553,8054.578
,14,70.721,11634.137
,15,53.168,9664.846
,16,53.403,6384.358
,17,58.387,6543.162
mDII-V_arpc5_3_plant5_1_Z-Stack,1,64.024,5460.728
,2,69.805,6131.125
,3,85.644,5344.508
,4,63.475,5296.933
,5,54.463,5202.353
,6,71.074,4937.546
,7,58.988,4111.940
,8,62.664,4957.254
,9,68.249,4559.821
,10,48.930,3976.669
,11,73.454,5834.625
,12,53.534,3361.284
,13,86.233,4070.303
,14,63.435,3444.910
,15,65.711,3550.946
mDII-V_arpc5_3_plant5_2_Z-Stack,1,50.539,4886.463
,2,44.117,4066.145
,3,55.339,3216.286
,4,60.309,2158.413
,5,63.043,3361.706
,6,50.094,4819.547
,7,64.796,4410.244
,8,67.477,3479.504
,9,49.807,4227.577
,10,45.111,3688.971
,11,83.054,3686.169
,12,73.349,3537.695
,13,49.807,3912.536
,14,56.372,4154.451
,15,68.092,2301.057
,16,69.687,2652.608
,17,60.715,3942.220
,18,76.554,2499.428
,19,52.174,2524.297
mDII-V_arpc5_3_plant6_1_Z-Stack,1,72.290,4753.367
,2,56.516,3996.181
,3,67.778,3457.998
,4,41.501,3329.861
,5,59.930,4274.523
,6,53.325,3106.708
,7,67.163,4277.367
,8,66.980,2780.355
,9,79.431,4316.812
,10,53.626,3786.289
,11,61.513,3832.410
,12,59.001,2231.374
,13,61.473,3902.157
,14,59.538,2907.655
,15,56.791,2807.158
mDII-V_arpc5_3_plant6_2_Z-Stack,1,67.006,2941.785
,2,79.928,4084.541
,3,76.541,2711.490
,4,71.061,3553.153
,5,45.621,3327.489
,6,67.830,2834.013
,7,59.328,2742.872
,8,68.746,2865.235
,9,54.711,2338.435
,10,48.917,2741.995
,11,65.999,3079.537
,12,73.363,3198.955
,13,70.433,3510.185
,14,62.611,4128.376
mDII-V_arpc5_3_plant8_1_Z-Stack,1,82.832,1958.992
,2,80.255,2816.173
,3,66.993,2865.428
,4,50.500,1813.351
,5,69.661,2882.335
,6,92.289,2897.720
,7,57.785,3039.439
,8,59.001,2989.211
,9,54.646,3087.637
,10,92.537,3977.459
,11,55.993,3371.105
,12,72.225,3042.332
,13,64.848,3051.613
mDII-V_arpc5_3_plant8_2_Z-Stack,1,59.891,2542.805
,2,61.997,2014.274
,3,52.802,1476.675
,4,57.262,2038.977
,5,64.102,4018.426
,6,61.552,2708.241
,7,58.347,3655.306
,8,79.078,2419.672
,9,84.938,2535.649
,10,67.411,3761.561
,11,79.248,2881.859
,12,58.674,2798.019
,13,81.537,2089.229
,14,82.492,2353.177
mDII-V_arpc5_3_plant9_1_Z-Stack,1,78.241,9187.454
,2,65.319,8061.381
,3,67.137,9773.913
,4,55.405,6579.347
,5,75.691,9852.077
,6,57.092,8647.899
,7,66.653,7465.590
,8,62.873,7580.335
,9,71.793,7062.034
,10,59.394,8410.896
,11,62.441,6974.763
,12,60.296,9872.913
,13,93.348,10578.424
,14,85.304,6913.248
,15,97.259,8854.778
,16,88.757,10682.339
,17,64.704,10337.784
mDII-V_arpc5_3_plant9_2_Z-Stack,1,95.768,10151.163
,2,42.757,5910.441
,3,76.593,8428.702
,4,74.134,9768.090
,5,41.907,7270.926
,6,66.731,5764.066
,7,84.441,10531.814
,8,55.352,11779.655
,9,65.371,7985.832
,10,80.229,10594.596
,11,88.077,9151.969
,12,70.093,6459.822
,13,90.300,7330.616
,14,65.436,9293.154
,15,55.339,9703.417
,16,65.005,9646.144
